uid,image,was_refined,gcrf_iterations,draft_ppv,final_ppv,draft_npv,final_npv,draft_sensitivity,final_sensitivity,draft_specificity,final_specificity,draft_f1_clinical,final_f1_clinical,draft_chair_i,final_chair_i,draft_chair_s,final_chair_s,draft_truthful_rate,final_truthful_rate,draft_halluc_rate,final_halluc_rate,draft_fabrication,final_fabrication,draft_danger_phrases,final_danger_phrases,draft_contradiction_count,final_contradiction_count,draft_monotone_score,final_monotone_score,draft_is_monotone,final_is_monotone,draft_report_length_words,final_report_length_words,draft_cx_f1,final_cx_f1,draft_cx_hallucination_pct,final_cx_hallucination_pct,final_cx_n_hallucinated,final_cx_n_missed,final_cx_hallucinated_conditions,final_cx_missed_conditions,draft_hallucination_score,hallucination_score,delta_hallucination_score,hallucination_class,final_monotone_score.1,final_npv_h,final_ppv_h,final_sensitivity_h,final_specificity_h,final_chair_i_h,final_chair_s_h,final_truthful_rate_h,final_monotone_score_h,final_is_monotone_h,new_score,new_class,old_score,version
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1056,1056_IM-0040-1002.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,50.0,50.0,1,2,Pneumothorax,Pleural Effusion; Support Devices,33.17,33.17,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.3333,0.6667,0.2222,0,29.99,Low,33.17,v2+GCRF
1059,1059_IM-0041-1001.dcm.png,True,2,0.6,0.75,0.9,0.9091,0.75,0.75,0.8182,0.9091,0.6667,0.75,0.4,0.25,0.4,0.25,0.6,0.75,0.4,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,28,26,0.0,0.4,50.0,50.0,1,2,Pneumothorax,Lung Opacity; Support Devices,35.5,25.0,-10.5,Low,0.2222,0.9091,0.75,0.75,0.9091,0.25,0.25,0.75,0.2222,0,24.81,Low,25.0,v2+GCRF
1078,1078_IM-0055-1001.dcm.png,True,2,0.6,0.5,1.0,0.9091,1.0,0.6667,0.8333,0.8333,0.75,0.5714,0.4,0.5,0.4,0.5,0.6,0.5,0.4,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,28,26,1.0,0.6667,0.0,50.0,1,0,Pleural Effusion,,28.0,42.5,14.5,Moderate,0.2222,0.9091,0.5,0.6667,0.8333,0.5,0.5,0.5,0.2222,0,38.42,Moderate,42.5,v2+GCRF
1079,1079_IM-0056-1001.dcm.png,False,1,0.4,0.4,0.8,0.8,0.5,0.5,0.7273,0.7273,0.4444,0.4444,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.4,0.4,0.0,0.0,0,3,,Edema; Atelectasis; Pleural Effusion,42.0,42.0,0.0,Moderate,0.2222,0.8,0.4,0.5,0.7273,0.6,0.6,0.4,0.2222,0,38.6,Moderate,42.0,v2+GCRF
1081,1081_IM-0057-2002.dcm.png,False,1,0.125,0.125,1.0,1.0,1.0,1.0,0.5,0.5,0.2222,0.2222,0.875,0.875,0.8,0.8,0.2,0.2,0.8,0.8,1,1,0,0,0,0,0.2222,0.2222,0,0,45,45,0.0,0.0,0.0,0.0,0,0,,,58.63,58.63,0.0,High,0.2222,1.0,0.125,1.0,0.5,0.875,0.8,0.2,0.2222,0,49.62,Moderate,58.63,v2+GCRF
1086,1086_IM-0059-1001.dcm.png,False,1,0.5,0.5,0.7273,0.7273,0.4,0.4,0.8,0.8,0.4444,0.4444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.3333,0.3333,1,1,21,21,0.3333,0.3333,0.0,0.0,0,4,,Pleural Effusion; Fracture; Support Devices; No Finding,35.0,35.0,0.0,Moderate,0.3333,0.7273,0.5,0.4,0.8,0.5,0.5,0.5,0.3333,1,35.02,Moderate,35.0,v2+GCRF
1095,1095_IM-0066-1001.dcm.png,False,1,0.0,0.0,0.9091,0.9091,0.0,0.0,0.7143,0.7143,0.0,0.0,1.0,1.0,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.0,0.0,0.0,0.0,0,1,,Fracture,49.0,49.0,0.0,Moderate,0.2222,0.9091,0.0,0.0,0.7143,1.0,0.4,0.6,0.2222,0,41.07,Moderate,49.0,v2+GCRF
1098,1098_IM-0067-1001.dcm.png,False,1,0.625,0.625,1.0,1.0,1.0,1.0,0.7,0.7,0.7692,0.7692,0.375,0.375,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,44,44,1.0,1.0,0.0,0.0,0,0,,,27.12,27.12,0.0,Low,0.2222,1.0,0.625,1.0,0.7,0.375,0.4,0.6,0.2222,0,24.82,Low,27.12,v2+GCRF
1103,1103_IM-0070-1001.dcm.png,False,1,0.75,0.75,0.7273,0.7273,0.5,0.5,0.8889,0.8889,0.6,0.6,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.5,0.5,0.0,0.0,0,2,,Lung Opacity; No Finding,17.5,17.5,0.0,Low,0.2222,0.7273,0.75,0.5,0.8889,0.25,0.25,0.75,0.2222,0,20.2,Low,17.5,v2+GCRF
1113,1113_IM-0078-1001.dcm.png,False,1,0.5,0.5,0.6364,0.6364,0.3333,0.3333,0.7778,0.7778,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.5,0.5,0.0,0.0,0,2,,Pleural Effusion; No Finding,35.0,35.0,0.0,Moderate,0.2222,0.6364,0.5,0.3333,0.7778,0.5,0.5,0.5,0.2222,0,35.45,Moderate,35.0,v2+GCRF
1124,1124_IM-0081-2001.dcm.png,False,1,0.8,0.8,0.9,0.9,0.8,0.8,0.9,0.9,0.8,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.2,0.2,1,1,0,0,0,0,0.2222,0.2222,0,0,34,34,0.8571,0.8571,0.0,0.0,0,1,,No Finding,14.0,14.0,0.0,Hallucination-Free,0.2222,0.9,0.8,0.8,0.9,0.2,0.2,0.8,0.2222,0,14.92,Hallucination-Free,14.0,v2+GCRF
1130,1130_IM-0087-1001.dcm.png,True,2,0.4,0.5,0.8,0.8182,0.5,0.5,0.7273,0.8182,0.4444,0.5,0.6,0.5,0.6,0.5,0.4,0.5,0.6,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,28,26,0.0,0.4,50.0,50.0,1,2,Pneumothorax,Lung Opacity; No Finding,49.5,42.5,-7.0,Moderate,0.2222,0.8182,0.5,0.5,0.8182,0.5,0.5,0.5,0.2222,0,39.9,Moderate,42.5,v2+GCRF
1141,1141_IM-0096-1001.dcm.png,False,1,0.0,0.0,1.0,1.0,0.0,0.0,0.7333,0.7333,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,0.0,0.0,0,0,,,52.5,52.5,0.0,High,0.2222,1.0,0.0,0.0,0.7333,1.0,0.5,0.5,0.2222,0,42.36,Moderate,52.5,v2+GCRF
1154,1154_IM-0104-1001.dcm.png,False,1,0.2,0.2,1.0,1.0,1.0,1.0,0.7143,0.7143,0.3333,0.3333,0.8,0.8,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,32,32,0.0,0.0,0.0,0.0,0,0,,,39.67,39.67,0.0,Moderate,0.2222,1.0,0.2,1.0,0.7143,0.8,0.3333,0.6667,0.2222,0,33.04,Moderate,39.67,v2+GCRF
1157,1157_IM-0106-1001.dcm.png,False,1,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.5,0.5,0.0,0.0,0,2,,Lung Opacity; No Finding,28.0,28.0,0.0,Low,0.2222,0.8,0.6,0.6,0.8,0.4,0.4,0.6,0.2222,0,27.62,Low,28.0,v2+GCRF
1171,1171_IM-0116-1001.dcm.png,False,1,0.5,0.5,0.9091,0.9091,0.6667,0.6667,0.8333,0.8333,0.5714,0.5714,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,20,20,0.0,0.0,100.0,100.0,1,2,Pneumothorax,Lung Opacity; Pleural Effusion,50.0,50.0,0.0,High,0.2222,0.9091,0.5,0.6667,0.8333,0.5,0.5,0.5,0.2222,0,45.92,Moderate,50.0,v2+GCRF
1172,1172_IM-0117-1001.dcm.png,False,1,0.6,0.6,0.9,0.9,0.75,0.75,0.8182,0.8182,0.6667,0.6667,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.2222,0.2222,0,0,33,33,0.4,0.4,0.0,0.0,0,3,,Pleural Effusion; Support Devices; No Finding,25.67,25.67,0.0,Low,0.2222,0.9,0.6,0.75,0.8182,0.4,0.3333,0.6667,0.2222,0,24.11,Low,25.67,v2+GCRF
1176,1176_IM-0119-1001.dcm.png,False,1,0.0,0.0,0.9,0.9,0.0,0.0,0.6429,0.6429,0.0,0.0,1.0,1.0,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,0.0,0.0,0,1,,No Finding,56.0,56.0,0.0,High,0.2222,0.9,0.0,0.0,0.6429,1.0,0.6,0.4,0.2222,0,47.38,Moderate,56.0,v2+GCRF
1192,1192_IM-0129-1001.dcm.png,True,2,0.6,0.6667,0.8,0.75,0.6,0.4,0.8,0.9,0.6,0.5,0.4,0.3333,0.5,0.25,0.5,0.75,0.5,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,20,26,0.3333,0.4,50.0,0.0,0,3,,Lung Opacity; Pleural Effusion; No Finding,39.0,20.42,-18.58,Low,0.2222,0.75,0.6667,0.4,0.9,0.3333,0.25,0.75,0.2222,0,21.77,Low,20.42,v2+GCRF
1200,1200_IM-0134-1001.dcm.png,False,1,0.5,0.5,0.7273,0.7273,0.4,0.4,0.8,0.8,0.4444,0.4444,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,100.0,100.0,1,3,Pneumothorax,Lung Opacity; Pleural Effusion; No Finding,50.0,50.0,0.0,High,0.2222,0.7273,0.5,0.4,0.8,0.5,0.5,0.5,0.2222,0,48.91,Moderate,50.0,v2+GCRF
1203,1203_IM-0137-1001.dcm.png,False,1,0.75,0.75,0.6364,0.6364,0.4286,0.4286,0.875,0.875,0.5455,0.5455,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,100.0,100.0,2,2,Pneumothorax; Pleural Effusion,Lung Opacity; No Finding,32.5,32.5,0.0,Moderate,0.2222,0.6364,0.75,0.4286,0.875,0.25,0.25,0.75,0.2222,0,36.68,Moderate,32.5,v2+GCRF
1204,1204_IM-0138-1001.dcm.png,True,2,0.6,0.75,0.9,0.9091,0.75,0.75,0.8182,0.9091,0.6667,0.75,0.4,0.25,0.4,0.25,0.6,0.75,0.4,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,28,26,0.4,0.4,50.0,50.0,1,2,Pneumothorax,Consolidation; No Finding,35.5,25.0,-10.5,Low,0.2222,0.9091,0.75,0.75,0.9091,0.25,0.25,0.75,0.2222,0,24.81,Low,25.0,v2+GCRF
1207,1207_IM-0140-0001-0002.dcm.png,False,1,0.2,0.2,1.0,1.0,1.0,1.0,0.7143,0.7143,0.3333,0.3333,0.8,0.8,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,50.0,50.0,1,0,Pneumothorax,,56.5,56.5,0.0,High,0.2222,1.0,0.2,1.0,0.7143,0.8,0.6,0.4,0.2222,0,48.01,Moderate,56.5,v2+GCRF
